شماره,گروه,اسم ,استاد,هفته,روز,ساعت,مکان
2112119,1,امنيت شبكه,رضواني محسن,هرهفته,شنبه,08:00-09:30,مهندسي كامپيوتر و فناوري اطلاعات كلاس 4-دانشكده كامپيوتر
2312614,5,تربيت بدني,غلامي فرهاد,هرهفته,شنبه,08:00-09:30,سالن شماره 3(پرديس فناوريهاي نوين) سالن تمرين با وزنه(پرديس2 فني)
2312615,9,ورزش 1,حسيني نيا سيد رضا,هرهفته,شنبه,08:00-09:30,سالن شماره 3(پرديس فناوريهاي نوين) سالن ورزشي پرديس2 فني
2312712,1,ژيمناستيك (1),رضواني محمدحسين,هرهفته,شنبه,08:00-09:30,سالن شماره 1 (فجر) سالن كشتي و ژيمناستيك
2312777,1,ايروبيك 2,دهقان پوري حوريه,هرهفته,شنبه,08:00-09:30,سالن شماره 1 (فجر) سالن چند منظوره (اصلي)
2312840,1,بدمينتون(1),ساساني مقدم شيوا,هرهفته,شنبه,08:00-09:30,سالن شماره 2 (انقلاب)جنب دانشكده مديريت سالن انقلاب
2412318,1,نقشه برداري(نظري),بيگدلي بهناز,هرهفته,شنبه,08:00-09:30,
2512002,1,آزمايشگاه مباني مهندسي برق,ايرجي محمد,هرهفته,شنبه,08:00-09:30,ساختمان كارگاهها كارگاه برق
2512007,1,آزمايشگاه شيمي عمومي,افضلي نيا احمد,هرهفته,شنبه,08:00-09:30,
2512008,1,كارگاه عمومي,اخياني مهدي,هرهفته,شنبه,08:00-09:30,
2512018,2,ترموديناميك مواد 1,احمدي درياكناري محمد,هفته هاي فرد,شنبه,08:00-09:30,دانشكده مهندسي شيمي ومواد كلاس شماره 101 دانشكده مهندسي شيمي ومواد
2514028,1,شيمي فيزيك مهندسي شيمي,احمدي درياكناري محمد,هفته هاي زوج,شنبه,08:00-09:30,دانشكده مهندسي شيمي ومواد كلاس شماره 108 دانشكده مهندسي شيمي ومواد
1112200,1,پردازش سيگنال هاي ديجيتال,خرقانيان رضا,هرهفته,شنبه,08:00-09:30,دانشكده مهندسي برق و رباتيك كلاس 5-دانشكده برق
1112207,1,آز سيستم هاي ديجيتال 1,ميثمي فر محمدعلي,هرهفته,شنبه,08:00-09:30,ساختمان كارگاهها آز سيستم ديجيتال1
1112222,1,سيگنال ها و سيستم ها,احمدي فرد عليرضا,هرهفته,شنبه,08:00-09:30,دانشكده مهندسي برق و رباتيك كلاس 12-دانشكده برق
1112222,2,سيگنال ها و سيستم ها,مروي حسين,هرهفته,شنبه,08:00-09:30,دانشكده مهندسي برق و رباتيك كلاس 9-دانشكده برق
1112222,3,سيگنال ها و سيستم ها,مشايخي ولي اله,هرهفته,شنبه,08:00-09:30,دانشكده مهندسي برق و رباتيك كلاس 6-دانشكده برق
1126052,2,فيزيولوژي,محمدپوري زينب,هرهفته,شنبه,08:00-09:30,دانشكده مهندسي برق و رباتيك كلاس 3-دانشكده برق
1126055,1,مديريت و كارآفريني در مهندسي پزشكي,جلالي مهدي,هرهفته,شنبه,08:00-09:30,مهندسي كامپيوتر و فناوري اطلاعات كلاس 5-دانشكده كامپيوتر
1312029,1,معادلات ديفرانسيل,جعفري سيد حيدر,هرهفته,شنبه,08:00-09:30,
1312029,2,معادلات ديفرانسيل,شريفي كامران,هرهفته,شنبه,08:00-09:30,
1312029,3,معادلات ديفرانسيل,غزنوي مهرداد,هرهفته,شنبه,08:00-09:30,
1312029,4,معادلات ديفرانسيل,قوتمند جزي مهدي,هرهفته,شنبه,08:00-09:30,
